#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ap1m2	Cldn7	10090.ENSMUSP00000111093	10090.ENSMUSP00000018713	0	0	0	0	0.572	0	0	0.506	0.779
Ap1m2	H2-M5	10090.ENSMUSP00000111093	10090.ENSMUSP00000131365	0	0	0	0	0	0.151	0.650	0	0.690
Arhgap24	Nphs1	10090.ENSMUSP00000092138	10090.ENSMUSP00000006825	0	0	0	0	0.090	0	0	0.533	0.557
Arid3b	Nanog	10090.ENSMUSP00000130173	10090.ENSMUSP00000012540	0	0	0	0	0	0.511	0	0.215	0.599
Arid3b	Pou5f1	10090.ENSMUSP00000130173	10090.ENSMUSP00000025271	0	0	0	0	0.085	0.735	0	0.231	0.797
Arid3b	Lin28a	10090.ENSMUSP00000130173	10090.ENSMUSP00000050488	0	0	0	0	0.094	0	0	0.394	0.428
Cldn7	Lin28a	10090.ENSMUSP00000018713	10090.ENSMUSP00000050488	0	0	0	0	0.085	0	0	0.414	0.441
Cldn7	Epcam	10090.ENSMUSP00000018713	10090.ENSMUSP00000061935	0	0	0	0	0.577	0.094	0	0.967	0.986
Col2a1	Col5a3	10090.ENSMUSP00000023123	10090.ENSMUSP00000004201	0	0	0.109	0.824	0.048	0	0.900	0.145	0.917
Col2a1	Eln	10090.ENSMUSP00000023123	10090.ENSMUSP00000015138	0	0	0	0	0.050	0	0	0.606	0.610
Col2a1	Lox	10090.ENSMUSP00000023123	10090.ENSMUSP00000025409	0	0	0	0	0.077	0.079	0	0.359	0.407
Col2a1	Tll1	10090.ENSMUSP00000023123	10090.ENSMUSP00000070560	0	0	0	0	0.042	0.051	0.400	0.099	0.442
Col2a1	Fbn1	10090.ENSMUSP00000023123	10090.ENSMUSP00000099524	0	0	0	0	0.061	0.079	0	0.410	0.445
Col2a1	Cxcl12	10090.ENSMUSP00000023123	10090.ENSMUSP00000072800	0	0	0	0	0.051	0.108	0	0.433	0.479
Col2a1	Igf1	10090.ENSMUSP00000023123	10090.ENSMUSP00000100937	0	0	0	0	0.043	0	0	0.521	0.522
Col2a1	Tnmd	10090.ENSMUSP00000023123	10090.ENSMUSP00000033602	0	0	0	0	0.074	0	0	0.532	0.549
Col2a1	Col6a3	10090.ENSMUSP00000023123	10090.ENSMUSP00000137585	0	0	0	0.571	0.047	0	0.400	0.311	0.572
Col2a1	Fmod	10090.ENSMUSP00000023123	10090.ENSMUSP00000035489	0	0	0	0	0.078	0.080	0	0.547	0.582
Col2a1	Col8a2	10090.ENSMUSP00000023123	10090.ENSMUSP00000070270	0	0	0.155	0.720	0.079	0.251	0.400	0.100	0.628
Col2a1	Col5a2	10090.ENSMUSP00000023123	10090.ENSMUSP00000083620	0	0	0.058	0.961	0.073	0	0.720	0.419	0.839
Col5a2	Col5a3	10090.ENSMUSP00000083620	10090.ENSMUSP00000004201	0	0	0.110	0.816	0.196	0	0.720	0.447	0.874
Col5a2	Eln	10090.ENSMUSP00000083620	10090.ENSMUSP00000015138	0	0	0	0	0.222	0	0	0.339	0.464
Col5a2	Lox	10090.ENSMUSP00000083620	10090.ENSMUSP00000025409	0	0	0	0	0.504	0.079	0	0.393	0.698
Col5a2	Slc2a10	10090.ENSMUSP00000083620	10090.ENSMUSP00000029196	0	0	0	0	0.120	0.112	0	0.378	0.472
Col5a2	Fmod	10090.ENSMUSP00000083620	10090.ENSMUSP00000035489	0	0	0	0	0.205	0.080	0	0.265	0.416
Col5a2	Col8a2	10090.ENSMUSP00000083620	10090.ENSMUSP00000070270	0	0	0.159	0.710	0.096	0	0.400	0.168	0.569
Col5a2	Tll1	10090.ENSMUSP00000083620	10090.ENSMUSP00000070560	0	0	0	0	0.054	0.051	0.400	0.165	0.490
Col5a2	Col6a3	10090.ENSMUSP00000083620	10090.ENSMUSP00000137585	0	0	0	0.567	0.633	0	0.400	0.620	0.909
Col5a2	Fbn1	10090.ENSMUSP00000083620	10090.ENSMUSP00000099524	0	0	0	0	0.858	0.079	0	0.606	0.944
Col5a3	Tll1	10090.ENSMUSP00000004201	10090.ENSMUSP00000070560	0	0	0	0	0	0.062	0.400	0.099	0.448
Col5a3	Fbn1	10090.ENSMUSP00000004201	10090.ENSMUSP00000099524	0	0	0	0	0.175	0.079	0	0.350	0.463
Col5a3	Col8a2	10090.ENSMUSP00000004201	10090.ENSMUSP00000070270	0	0	0.131	0.715	0.069	0.097	0.400	0.142	0.556
Col5a3	Col6a3	10090.ENSMUSP00000004201	10090.ENSMUSP00000137585	0	0	0	0.562	0.239	0.053	0.400	0.265	0.639
Col6a3	Eln	10090.ENSMUSP00000137585	10090.ENSMUSP00000015138	0	0	0	0	0.184	0	0	0.358	0.455
Col6a3	Lox	10090.ENSMUSP00000137585	10090.ENSMUSP00000025409	0	0	0	0	0.229	0.079	0	0.252	0.423
Col6a3	Fmod	10090.ENSMUSP00000137585	10090.ENSMUSP00000035489	0	0	0	0	0.188	0.080	0	0.301	0.433
Col6a3	Col8a2	10090.ENSMUSP00000137585	10090.ENSMUSP00000070270	0	0	0	0.632	0.077	0	0.400	0.246	0.546
